mean_branch_length_nuc	median_branch_length_nuc	mean_branch_length_pro	media_branch_length_pro	Human_snp_per_gene	Chimp_snp_per_gene	Gorilla_snp_per_gene	Mouse_snp_per_gene	Dog_snp_per_gene	Human_BL	Chimp_BL	Gorilla_BL	Mouse_BL	Dog_BL	Alignment_length	hg18Length	Hg19Length	hg38Length	mouseGRCm38Length	dogCF3_1Length	human_chrom	Human_singleton	Human_deNove	Human_de_nove_event	Great_Ape_mean_branch_length_nuc	Ape_mean_branch_length_nuc	Primates_mean_branch_length_nuc	Rodents_mean_branch_length_nuc	Euarchontoglires_mean_branch_length_nuc	Laurasiatheria_mean_branch_length_nuc	Great_Ape_media_branch_length_nuc	Ape_median_branch_length_nuc	Primates_median_branch_length_nuc	Rodents_median_branch_length_nuc	Euarchontoglires_median_branch_length_nuc	Laurasiatheria_median_branch_length_nuc
A1CF	0.016750485752381	0.0059319903	0.00786548049206349	0.0038683563	0.0232558139534884	0.00775193798449612	0.00178890876565295	0	0.0157377049180328	0.0017712595	0.0011587188	2.2548e-06	0.0232031	0.0334733246	1776	1677	1677	1677	1537	1525	10	0.0119260584376863	0	0	0.0020435581	0.00221752777777778	0.00703209802	0.028836700175	0.0158459443725	0.0139899151828947	0.0005648002	0.0011297824	0.0017225148	0.0220912975	0.0058796895	0.0056093392
A4GNT	0.0296229924745856	0.0131467483	0.039758581059116	0.0205122473	0.0345622119815668	0.0184331797235023	0.00230414746543779	0	0.0138248847926267	0.0076195027	0.0009901775	0.0080759328	0.0713273942	0.0584773122	1020	434	434	1243	489	434	3	0.0184331797235023	0	0	0.0052326117	0.00577340066666667	0.0139946188725	0.0522158534363636	0.0287419554602564	0.0266564520930556	0.0052932385	0.0059258364	0.0068679937	0.0422363898	0.0132455768	0.0109058131
AADAT	0.0292680340276243	0.0123242333	0.0418080886657459	0.0207503111	0.0132605304212168	0.00390015600624025	0.00234009360374415	0.0113177041228779	0.0100143061516452	0.0032306257	0.0008031499	0.002413099	0.0374599672	0.0645863366	1275	1282	1282	1282	1237	1398	4	0.00858034321372855	0	0	0.00157433938571429	0.00175010826666667	0.012903329865	0.0608896590818182	0.0301497432833333	0.0246529283628571	0.0015719878	0.0015739162	0.0023694444	0.0490529511	0.009242403	0.0119983155
AAGAB	0.0250884731349727	0.0077199733	0.024512368731694	0.0076029056	0.0403135498320269	0.00671892497200448	0	0.00875	0.0125470514429109	0.0043396225	2.0739e-06	0.0060227721	0.0279244919	0.0234970234	945	893	893	950	800	797	15	0.0212765957446809	0	0	0.00340349218571429	0.00457604757777778	0.0101138659575	0.0438978298916667	0.0226015162076923	0.0286138444013889	0.0019251064	0.0021262865	0.0043410433	0.0293315408	0.0091967094	0.0069360491
AAK1	0.0133158076628415	0.0049665868	0.0101766696721311	0.0040808282	0.0217963171739947	0.00526118000751597	0.00450958286358512	0.0061022120518688	0.0065359477124183	0.0018548403	2.1914e-06	0.0033465224	0.0263293493	0.0418509169	2760	2661	2661	2628	2622	2601	2	0.0112739571589628	0.000375798571965427	1	0.00145338895714286	0.00154497992222222	0.00450134697368421	0.023329284	0.0121999037974359	0.0114790768837838	0.0010877558	0.0011146231	0.0013555175	0.0178180765	0.0050343527	0.004304405
AARS	0.0210494185259259	0.0086907274	0.00987578303809524	0.0048549113	0.0284463894967177	0.00547045951859956	0.000364697301239971	0.00903832248734635	0.00692924872355945	0.0040282386	0.0007983237	0.0057941593	0.0388170566	0.0340112288	2904	2742	2742	2742	2766	2742	16	0.0175054704595186	0.000729394602479942	2	0.00438611577142857	0.00568090562222222	0.0092127166075	0.031904940225	0.01864873238	0.0135652690526316	0.0027669957	0.0034546343	0.0031340672	0.0274970762	0.0091160992	0.0060111601
AASDH	0.0293586924286487	0.009082733	0.0377955835037838	0.0120688117	0.0294347486324564	0.00807501953633759	0.00286532951289398	0.0176991150442478	0.00680272108843537	0.0009234385	2.7635e-06	0.0040487056	0.0607841077	0.0278627811	3279	3839	3839	3760	3503	2940	4	0.0174524615785361	0	0	0.00216715721428571	0.00288544946666667	0.01132579473	0.0570098676625	0.0332171129038462	0.0173774446894737	0.0009138385	0.001530229	0.0036810191	0.0330389738	0.0106157013	0.00581859
AASDHPPT	0.0174268304696133	0.0064462243	0.014508657120442	0.0044473589	0.0232273838630807	0.00733496332518337	0.00488997555012225	0.00607533414337789	0.00171821305841924	0.002300582	2.0573e-06	0.006669492	0.0344593447	0.016346321	927	818	818	582	823	582	11	0.0171149144254279	0	0	0.0027791698	0.00288857232222222	0.00556987128684211	0.0280958073041667	0.0141233364551282	0.0133248921514286	0.0010659443	0.0021587802	0.0021744396	0.0186998851	0.0064818431	0.0058878323
AASS	0.0203336075174603	0.0076582095	0.0194040533354497	0.0083110022	0.0253769768297168	0.00809121000367782	0.00294225818315557	0.00821815465072843	0.0139150056412185	0.0030795161	0.0007738526	0.0041041953	0.0350027942	0.0846374308	2778	2719	2719	2708	2677	2659	7	0.0176535490989334	0	0	0.00316437531428571	0.00294608032222222	0.00838030824	0.0373228065625	0.019496397105	0.0158261481407895	0.0024969109	0.0024961894	0.0031130882	0.0276110541	0.0083862281	0.0057710846
AATF	0.0199567526248649	0.0077925064	0.0225462302189189	0.0094622009	0.0274869109947644	0.0111256544502618	0.00589005235602094	0.0119214586255259	0.00581020012911556	0.0029959676	0.0018188915	0.0044908428	0.0389247246	0.0332352681	1686	1528	1528	1528	1426	1549	17	0.0157068062827225	0	0	0.0032188384	0.00446344937777778	0.0096952737475	0.0328570355791667	0.01879563283125	0.0159053046319444	0.002394216	0.0023963628	0.003637697	0.0230837768	0.0086068302	0.0063329043
