mean_branch_length_nuc	median_branch_length_nuc	mean_branch_length_pro	media_branch_length_pro	Human_snp_per_gene	Chimp_snp_per_gene	Gorilla_snp_per_gene	Mouse_snp_per_gene	Dog_snp_per_gene	Human_BL	Chimp_BL	Gorilla_BL	Mouse_BL	Dog_BL	Alignment_length	hg18Length	Hg19Length	hg38Length	mouseGRCm38Length	dogCF3_1Length	human_chrom	Human_singleton	Human_deNove	Human_de_nove_event
A1CF	0.016750485752381	0.0059319903	0.00786548049206349	0.0038683563	0.0232558139534884	0.00775193798449612	0.00178890876565295	0	0.0157377049180328	0.0017712595	0.0011587188	2.2548e-06	0.0232031	0.0334733246	1776	1677	1677	1677	1537	1525	10	0.0119260584376863	0	0
A4GNT	0.0296229924745856	0.0131467483	0.039758581059116	0.0205122473	0.0345622119815668	0.0184331797235023	0.00230414746543779	0	0.0138248847926267	0.0076195027	0.0009901775	0.0080759328	0.0713273942	0.0584773122	1020	434	434	1243	489	434	3	0.0184331797235023	0	0
AADAT	0.0292680340276243	0.0123242333	0.0418080886657459	0.0207503111	0.0132605304212168	0.00390015600624025	0.00234009360374415	0.0113177041228779	0.0100143061516452	0.0032306257	0.0008031499	0.002413099	0.0374599672	0.0645863366	1275	1282	1282	1282	1237	1398	4	0.00858034321372855	0	0
AAGAB	0.0250884731349727	0.0077199733	0.024512368731694	0.0076029056	0.0403135498320269	0.00671892497200448	0	0.00875	0.0125470514429109	0.0043396225	2.0739e-06	0.0060227721	0.0279244919	0.0234970234	945	893	893	950	800	797	15	0.0212765957446809	0	0
AAK1	0.0133158076628415	0.0049665868	0.0101766696721311	0.0040808282	0.0217963171739947	0.00526118000751597	0.00450958286358512	0.0061022120518688	0.0065359477124183	0.0018548403	2.1914e-06	0.0033465224	0.0263293493	0.0418509169	2760	2661	2661	2628	2622	2601	2	0.0112739571589628	0.000375798571965427	1
AARS	0.0210494185259259	0.0086907274	0.00987578303809524	0.0048549113	0.0284463894967177	0.00547045951859956	0.000364697301239971	0.00903832248734635	0.00692924872355945	0.0040282386	0.0007983237	0.0057941593	0.0388170566	0.0340112288	2904	2742	2742	2742	2766	2742	16	0.0175054704595186	0.000729394602479942	2
AASDH	0.0293586924286487	0.009082733	0.0377955835037838	0.0120688117	0.0294347486324564	0.00807501953633759	0.00286532951289398	0.0176991150442478	0.00680272108843537	0.0009234385	2.7635e-06	0.0040487056	0.0607841077	0.0278627811	3279	3839	3839	3760	3503	2940	4	0.0174524615785361	0	0
AASDHPPT	0.0174268304696133	0.0064462243	0.014508657120442	0.0044473589	0.0232273838630807	0.00733496332518337	0.00488997555012225	0.00607533414337789	0.00171821305841924	0.002300582	2.0573e-06	0.006669492	0.0344593447	0.016346321	927	818	818	582	823	582	11	0.0171149144254279	0	0
AASS	0.0203336075174603	0.0076582095	0.0194040533354497	0.0083110022	0.0253769768297168	0.00809121000367782	0.00294225818315557	0.00821815465072843	0.0139150056412185	0.0030795161	0.0007738526	0.0041041953	0.0350027942	0.0846374308	2778	2719	2719	2708	2677	2659	7	0.0176535490989334	0	0
AATF	0.0199567526248649	0.0077925064	0.0225462302189189	0.0094622009	0.0274869109947644	0.0111256544502618	0.00589005235602094	0.0119214586255259	0.00581020012911556	0.0029959676	0.0018188915	0.0044908428	0.0389247246	0.0332352681	1686	1528	1528	1528	1426	1549	17	0.0157068062827225	0	0
ABCA1	0.0176181713299465	0.0070076137	0.0162364439893048	0.00723615	0.0275117799057608	0.00896792825657395	0.00334397324821401	0.00735956743766897	0.0116366933655735	0.0019368247	0.000866194	0.0027553155	0.0356011857	0.0330591116	6783	6579	6579	6764	6658	6617	9	0.0158078735370117	0	0
ABCA12	0.0210389426077348	0.00904026	0.0213518755624309	0.0112702802	0.0266459707670418	0.00944250420385461	0.00776096235933256	0.00775193798449612	0.00932125508730471	0.001753569	0.0024743783	0.0044296203	0.0336434234	0.0274633619	7785	7731	7731	7620	7611	7617	2	0.0165567196999095	0	0
ABCA4	0.0226371451661017	0.0083372163	0.025383437820339	0.0096703802	0.0369713102632357	0.0136054421768707	0.00635906536527655	0.00850814141117794	0.00794364508393285	0.0028352426	0.0014587844	0.0044632237	0.0329359318	0.0305765894	6795	6762	6762	6750	6817	6672	1	0.0195208518189885	0	0
ABCA5	0.0169799163358289	0.0064603638	0.0177415697668449	0.0086492285	0.025407973559182	0.00784961784755216	0.00227225779797562	0.0107106076210093	0.00620347394540943	0.0013019886	0.0012513744	0.0030533083	0.0414089821	0.0217609465	4926	4841	4841	4836	4855	4836	17	0.0150795290229291	0.000413137781450114	2
ABCB11	0.0224433212398907	0.0082525384	0.0286575054819672	0.012314466	0.0245253164556962	0.0116033755274262	0.00316455696202532	0.0123945147679325	0.0114059013141582	0.0035472805	0.0017853569	0.0045837875	0.0488953773	0.0294286917	3963	3792	3792	4141	3792	4033	2	0.0121308016877637	0	0
ABCB6	0.0216527778153005	0.0086641495	0.020973469910929	0.0095198204	0.0337230215827338	0.00539568345323741	0.00269784172661871	0.00816167897396036	0.0104489164086687	0.0040065448	0.0003962425	NA	0.0305285681	0.0366670765	2529	2224	2224	1871	2573	2584	2	0.0224820143884892	0	0
ABCB7	0.0156338658932203	0.0054497958	0.0178024348474576	0.0074159644	0.0154424040066778	0.00250417362270451	0.000834724540901503	0.00193704600484262	0.00335731414868106	0.0008898135	0.0060021864	0.0022088328	0.0176391735	0.0207687657	2253	2396	2396	2114	2065	2085	X	0.00876460767946578	0	0
ABCC5	0.01673272258	0.0068566626	0.0104597469302857	0.0037580478	0.0191693290734824	0.00753080785029667	0.00319488817891374	0.0043418647166362	0.00421842043590344	0.0026688052	0.0004447064	NA	0.0252516317	0.0190245539	4311	4382	4382	4382	4376	4267	3	0.0130077590141488	0	0
ABCC8	0.0196064313751381	0.0085562428	0.0123029222331492	0.0050781741	0.0320723684210526	0.00596217105263158	0.00349506578947368	0.0136736554238833	0.0093521897810219	0.002969146	0.0002180341	0.0018142897	0.0279116308	0.0295288938	4746	4864	4864	4769	5485	4384	11	0.0193256578947368	0	0
ABCC9	0.0185284639972067	0.0057625307	0.00651072189050279	0.0020982479	0.017558886509636	0.00364025695931478	0.00149892933618844	0.0114942528735632	0.00542005420054201	0.0006817968	0.0012140905	0.0016647366	0.0309579762	0.0208040502	4647	4670	4670	4708	4698	4797	12	0.0109207708779443	0	0
ABCD2	0.0185973117579235	0.0050987962	0.0249861580338798	0.0056479991	0.0191678354371202	0.00794763908368396	0.00233754090696587	0.0104308390022676	0.00557700557700558	0.0023009946	0.0004590099	0.002419783	0.032871555	0.0170478658	2220	2139	2139	2330	2205	2331	12	0.010752688172043	0	0
ABCD3	0.0127212124074866	0.0050437758	0.00901248847219251	0.0044977707	0.017017017017017	0.005005005005005	0.0005005005005005	0.00892857142857143	0.00355510411376333	0.000842771	0.0010145771	0.0015290521	0.0363884356	0.0149098028	1977	1998	1998	1864	1792	1969	1	0.012012012012012	0	0
ABCD4	0.0212949205883978	0.0094106268	0.0192637496303867	0.0090011805	0.0357142857142857	0.0133928571428571	0.00334821428571429	0.00933488914819136	0.00641399416909621	0.004353858	0.0005489224	0.0045450516	0.0293025755	0.0296357002	1818	1792	1792	1769	1714	1715	14	0.0184151785714286	0	0
ABCE1	0.010506711257672	0.0035728459	0.000513938365079365	2.0092e-06	0.0114879649890591	0.00328227571115974	0.000547045951859956	0.00834260289210234	0.00336511497476164	0.0011774584	2.3278e-06	0.0014637915	0.0154898064	0.0147883369	1797	1828	1828	1779	1798	1783	4	0.00765864332603939	0	0
ABCF1	0.0201438785153005	0.0083398185	0.0117207191442623	0.0034776197	0.0239043824701195	0.00677290836653386	0.00119521912350598	0.00568412505075112	0.00530612244897959	0.0023279474	0.0003987754	0.0008273559	0.0379266555	0.0356371044	2526	2510	2510	2298	2463	2450	6	0.0159362549800797	0	0
ABCF2	0.0149333821074074	0.0065466037	0.0031052437957672	2.5653e-06	0.0225130890052356	0.00575916230366492	0.00261780104712042	0.00223588596981554	0.00514668039114771	0.0016495563	2.2511e-06	0.0011007922	0.0257843111	0.0236893727	1872	1910	1910	1910	1789	1943	7	0.012565445026178	0	0
ABCF3	0.0169949127716578	0.0056561071	0.00649895642459893	0.0020704595	0.0260955194485475	0.00640078778926637	0.0034465780403742	0.00260281103591879	0.00660233621127476	0.0014434716	0.0004785805	0.0023864307	0.0228186177	0.0158210307	2127	2031	2031	1898	1921	1969	3	0.0162481536189069	0	0
ABCG5	0.0290766543983784	0.009654837	0.0376397768016216	0.0145195779	0.0389129092032119	0.0086473131562693	0.00247066090179123	0.0154416306361952	0.00633275762809442	0.0020704989	0.0018587898	0.0025882005	0.0520489183	0.0312526258	1956	1619	1619	1741	1619	1737	2	0.0216182828906733	0	0
ABHD12	0.0171272295705202	0.0078241257	0.00746606449075145	0.0036667589	0.0281124497991968	0.00803212851405622	0.00267737617135207	0.0072463768115942	0.005175983436853	2.0144e-06	0.0011976076	2.398e-06	0.0175497011	0.0312831681	1023	1494	1494	1454	966	966	20	0.0153949129852744	0	0
ABHD12B	0.0283189008096045	0.0109339816	0.0356934766485876	0.0167042844	0.0288104089219331	0.0120817843866171	0.00836431226765799	0.00925925925925926	0.00844390832328106	0.0020057337	0.0011741705	0.0023928772	0.1026485192	0.0361443185	999	1076	1076	1076	1080	829	14	0.0139405204460967	0	0
ABHD16A	0.0177377063939227	0.0072798872	0.0103013371745856	0.004380859	0.0213502596653203	0.00692440854010387	0.00346220427005193	0.00799016594960049	0.00665335994677312	0.0006090971	0.0012887135	0.0006462254	0.0153539176	0.0242106903	1674	1733	1733	1461	1627	1503	6	0.0103866128101558	0	0
ABHD17B	0.00901731531764706	0.0035658984	0.00100551401122995	0	0.0186480186480186	0.0034965034965035	0.0034965034965035	0	0.00307692307692308	0	0	NA	0.0304492719	0.0168941627	864	858	858	862	650	650	9	0.0128205128205128	0	0
ABHD2	0.0165832420767568	0.0080074132	0.00452789490432432	2.5508e-06	0.0264598540145985	0.00456204379562044	0.00273722627737226	0.00459981600735971	0.0101195952161914	0.0031721684	0.0007886488	0.002405335	0.0175581224	0.0342028776	1275	1096	1096	1087	1087	1087	15	0.0145985401459854	0	0
ABHD3	0.0167348030751412	0.006332273	0.0112799405836158	0.0039071096	0.0271985494106981	0.00362647325475975	0.00362647325475975	0.00282485875706215	0.00866141732283465	0.0019111119	2.4282e-06	NA	0.0464699741	0.0458001501	1074	1103	1103	1047	1062	1270	18	0.0163191296464189	0	0
ABHD4	0.0164601156308108	0.00591063	0.00677955012810811	0.004572237	0.0290872617853561	0.00501504513540622	0.00501504513540622	0.00398406374501992	0.00327510917030568	0.0030306722	2.4424e-06	0.0029605579	0.0135658724	0.0314722041	1026	997	997	948	1004	916	14	0.0150451354062187	0	0
ABHD5	0.0199892218664804	0.0076348573	0.0120150255407821	0.0041013341	0.0260115606936416	0.00867052023121387	0.00385356454720617	0.00328587075575027	0.00328587075575027	0.001069633	0.0010695146	0.0065099535	0.012480555	0.0160861165	1005	1038	1038	913	913	913	3	0.0163776493256262	0	0
ABHD6	0.0228973370666667	0.007610045	0.0201901613719577	0.0047996821	0.0203862660944206	0.00321888412017167	0.00214592274678112	0.00803673938002296	0.0126436781609195	0.0009912862	0.0009913271	0.0029864604	0.0284199785	0.0432412197	1011	932	932	862	871	870	3	0.0150214592274678	0	0
ABI1	0.00876305824708995	0.0030842615	0.00125828931904762	2.0562e-06	0.0138190954773869	0.00439698492462312	0.00376884422110553	0.00351493848857645	0.00493421052631579	0.0006990279	0.0006978604	2.2364e-06	0.0158700074	0.0151128697	1443	1592	1592	1426	1138	1216	10	0.00753768844221105	0	0
ABI2	0.0110939389237569	0.0038964413	0.00369763945248619	2.907e-06	0.0144685587089594	0.00111296605453534	0.00222593210907067	0.00209937018894332	0.00245549416820135	2.0352e-06	2.2757e-06	0.001601883	0.0244942522	0.01180093	1626	1797	1797	1727	1429	1629	2	0.010016694490818	0	0
ABI3BP	0.01983134522	0.0073549961	0.0228187495767568	0.008921628	0.028321611860863	0.00969397452955712	0.00494202623075461	0.013000852514919	0.00956937799043062	0.004729632	0.0009358361	0.0025132168	0.0348769493	0.0277572809	3228	5261	5261	5104	4692	5016	3	0.0150161566242159	0.0001900779319521	1
ABL1	0.0250725449100529	0.0107697947	0.0200752985973545	0.0084953262	0.0304767652383826	0.00694025347012673	0.00482800241400121	0.00250156347717323	0.00562851782363977	0.0020290559	0.001471019	0.0058038495	0.03786637	0.0534676687	3450	3314	3314	1599	1599	1599	9	0.015992757996379	0	0
ABL2	0.0172386691114754	0.0054487978	0.0124503162710383	0.0039610682	0.0222222222222222	0.00522875816993464	0.00209150326797386	0.0068241469816273	0.00630914826498423	0.0020126531	2.8716e-06	0.0020185347	0.0266091854	0.0168224118	3390	3825	3825	3549	1905	1902	1	0.0125490196078431	0	0
ABLIM1	0.0140278632053476	0.0053645793	0.00924038731069519	0.0037642128	0.0353283458021613	0.0116375727348296	0.00415627597672485	0	0.00687757909215956	0.0029132524	0.0014512261	0.0007325292	0.0202535578	0.0154813533	1386	2406	2406	2844	2545	2181	10	0.0195344970906068	0	0
ABLIM3	0.0124599778578378	0.005376802	0.00370343953621622	0.0018826765	0.0368098159509202	0.00755073147711185	0.00424728645587541	0.00208986415882968	0.00875386199794027	2.3483e-06	0.0015377484	0.003345239	0.0211079163	0.0212793933	2049	2119	2119	1966	1914	1942	5	0.025011798017933	0	0
ABR	0.0135656806625668	0.0055145125	0.00136311445347594	2.3123e-06	0.0278336686787391	0.00804828973843058	0.00503018108651911	0.00617538081515027	0.00816023738872404	0.0027042429	0.0010200112	0.0036838328	0.0196229125	0.0214455823	2334	2982	2982	2653	2429	2696	17	0.0174379610999329	0	0
ABRA	0.0307068267481481	0.0106164827	0.0343498015386243	0.0135771307	0.037344398340249	0.00968188105117566	0.004149377593361	0.0128205128205128	0.0105580693815988	0.002654788	2.4793e-06	0.003895689	0.0411284101	0.0492365995	1143	723	723	722	702	1326	8	0.024896265560166	0	0
ACAA2	0.03233679172	0.0094496647	0.0459317710702703	0.0135533046	0.0228728270814273	0.00457456541628545	0.00182982616651418	0.0155535224153705	0.0122116689280868	2.3841e-06	0.000841144	0.0067946767	0.033480725	0.1042167083	1191	1093	1093	1093	1093	737	18	0.0118938700823422	0.000914913083257091	1
ACACA	0.0126974795106952	0.0046958539	0.00370285279090909	0.0017550269	0.0118110236220472	0.00365579302587177	0.00168728908886389	0.0051524259338772	0.00486409155937053	0.001435144	0.0002826444	0.0017990152	0.0204853581	0.0176042788	7038	7112	7112	6990	6987	6990	17	0.0077334083239595	0	0
ACACB	0.0277118254121547	0.0114683681	0.0259260977342541	0.0135763298	0.0324294863060362	0.00981060089930508	0.002997683608121	0.0143993417443774	0.0114451185879757	0.0029958861	0.0004063095	NA	0.0406317163	0.0426997728	7368	7339	7339	7272	7292	7252	12	0.0182586183403733	0	0
ACAD8	0.0271342679465608	0.0105803715	0.0288824745338624	0.0124259554	0.0234248788368336	0.0105008077544426	0.000807754442649435	0.00817661488143908	0.00406091370558376	0.0017495067	0.0018836708	0.002509812	0.0325138774	0.036798026	1215	1238	1238	1306	1223	985	11	0.0169628432956381	0	0
ACADL	0.0205312090955307	0.0088182321	0.0234624332530726	0.0127919101	0.0249554367201426	0.0124777183600713	0.00623885918003565	0.0124777183600713	0.00802139037433155	2.8843e-06	0.0008696197	0.0052199666	0.0336153657	0.0615171267	1212	1122	1122	1122	1122	1122	2	0.0151515151515152	0	0
ACADM	0.0189224472331429	0.0076057905	0.0195813609588571	0.0105708719	0.0225903614457831	0.00903614457831325	0.0052710843373494	0.00687285223367698	0.00440528634361234	2.6351e-06	0.0016003068	0.001733365	0.0412510454	0.0388052616	1263	1328	1328	1275	1164	908	1	0.0143072289156626	0	0
ACAP2	0.0137363507740331	0.0048737246	0.00891867711436464	0.0024456821	0.0153256704980843	0.00340570455512984	0.00127713920817369	0.00437636761487965	0.00421940928270042	0.0018003824	2.5047e-06	0.0014204244	0.0271955641	0.0204496558	2331	2349	2349	2309	2285	2133	3	0.0097914005959983	0	0
ACAT1	0.0246900906888268	0.0087520925	0.0177725376044693	0.0080297429	0.0295109612141653	0.00252951096121417	0.00168634064080944	0.00549954170485793	0.00827814569536424	2.4239e-06	2.5566e-06	0.0018440385	0.0302606624	0.0775461255	1254	1186	1186	1091	1091	1208	11	0.0185497470489039	0	0
ACBD3	0.0183062874836257	0.0075979537	0.0161555389116959	0.007049089	0.0264808362369338	0.00905923344947735	0.00209059233449477	0.00280701754385965	0.00532859680284192	0.0016218913	0.0008117342	0.0024790383	0.0271293205	0.0233509853	1308	1435	1435	1422	1425	1126	1	0.0146341463414634	0	0
ACBD6	0.0190225110120219	0.0071849168	0.0173999047836066	0.0076456036	0.0169491525423729	0.00423728813559322	0.00847457627118644	0.00423728813559322	0.00951248513674197	0.0024015924	0.0012020972	0.0047867542	0.0312483968	0.0358513932	846	472	472	472	472	841	1	0.0105932203389831	0	0
ACCS	0.0278582519224044	0.010605136	0.036560477279235	0.0135166212	0.0361713967723984	0.0172509738452977	0.00445186421814135	0.0205527994330262	0.0177935943060498	0.0040592372	0.0013432023	0.0040401492	0.0388600677	0.0481014756	1506	1797	1797	1619	1411	1405	11	0.0183639398998331	0	0
ACE2	0.0269340334081967	0.0100648752	0.0479940785054645	0.0218714605	0.0115197164377492	0.00265839610101905	0.00177226406734603	0.00376825247291569	0.00327734535026628	0.0024931027	0.0004343916	0.0045838128	0.0440787596	0.0298342958	2415	2257	2257	2363	2123	2441	X	0.00708905626938414	0	0
ACER2	0.0219269857497326	0.005797677	0.0136667054465241	2.7785e-06	0.0381471389645777	0.0108991825613079	0.00272479564032698	0.00375234521575985	0.00187617260787992	2.3182e-06	0.002161952	0.0063526913	0.0514849072	0.0165731741	825	734	734	625	533	533	9	0.0286103542234332	0	0
ACIN1	0.0149704269654054	0.0057981861	0.0156334804113514	0.0063359158	0.0250847457627119	0.00677966101694915	0.00293785310734463	0.0096569250317662	0.00510615425960763	0.0006611634	0.0003214587	0.0038908414	0.0438603763	0.0243126787	4026	4425	4425	3975	3935	3721	14	0.0151412429378531	0	0
ACLY	0.0179104662102703	0.0081270294	0.00671228550702703	0.0029098672	0.0230700976042591	0.00709849157054126	0.00325347530316474	0.00494743351886209	0.00620200826934436	0.0018508367	0.0017025995	0.0006532874	0.0291446478	0.0359291231	3303	3381	3381	3381	3234	3386	17	0.0153800650695061	0	0
ACMSD	0.0177251290338624	0.0067228632	0.0171294814804233	0.0087042252	0.0291806958473625	0.00897867564534231	0.00224466891133558	0.0101010101010101	0.0145903479236813	0.0033225116	0.0009701582	0.0047410051	0.0293124926	0.0496282536	1008	891	891	937	891	891	2	0.0134680134680135	0	0
ACO1	0.0188686878843243	0.0072202485	0.0125140676789189	0.0057147894	0.0310318076027929	0.00659425911559348	0.00504266873545384	0.0135344160866203	0.00543056633048875	0.0026678014	2.0793e-06	0.0038393198	0.0456247541	0.0486203217	2667	2578	2578	2578	2586	2578	9	0.0178432893716059	0	0
ACO2	0.0177517658345946	0.0068695469	0.00717195064864865	0.004224844	0.0247079964061096	0.00853548966756514	0.00449236298292902	0.00414364640883978	0.00644567219152855	0.0023722219	2.913e-06	0.0038928653	0.0197218505	0.0421394189	2340	2226	2226	2172	2172	2172	22	0.0152740341419587	0	0
ACOT12	0.0274773783911602	0.0088790269	0.0329813830944751	0.0132898479	0.0308815272318922	0.00954519932622122	0.00449185850645705	0.0103658536585366	0.00411039342337052	0.0033672953	2.2791e-06	0.0033632986	0.032584519	0.0356240767	1539	1781	1781	1704	1640	1703	5	0.0168444693992139	0.000561482313307131	1
ACOX1	0.0240729636540541	0.0089811938	0.0174975967021622	0.0076947111	0.03199639477242	0.00360522757999099	0.00405588102748986	0.00654252642174132	0.00704225352112676	0.0031559528	0.0010408769	0.0052989264	0.0595431847	0.0335217422	1869	2219	2219	1987	1987	2130	17	0.0184767913474538	0	0
ACP2	0.0203927213222222	0.0088528013	0.0203512034867725	0.0068780698	0.0343316289262235	0.00511322132943755	0.00219138056975895	0.00161812297734628	0.005859375	0.0024154157	2.9936e-06	0.0016157286	0.0164915204	0.0338661891	1269	1369	1369	1196	1236	1024	11	0.0233747260774288	0	0
ACP6	0.0287530332447514	0.0096768391	0.0355617873171271	0.0145152687	0.0337892196299276	0.00965406275140788	0.00160901045856798	0.00651465798045603	0.00538116591928251	0.0023333662	0.000775922	0.0031309383	0.0421342458	0.0483534495	1284	1243	1243	1125	921	1115	1	0.0160901045856798	0	0
ACPP	0.0306193358475936	0.0090823097	0.0494681164973262	0.0211702219	0.0265225933202358	0.0108055009823183	0.00884086444007859	0.00884086444007859	0.0117878192534381	0.0015921731	0.0016145864	0.0048363962	0.0502371174	0.0622344235	1254	1018	1018	1018	1018	1018	3	0.0147347740667976	0	0
ACSBG1	0.0309259548994475	0.0121041409	0.0340285070453039	0.0151408546	0.0338142470694319	0.00991884580703336	0.00856627592425609	0.00680602819640253	0.00895381715362865	0.0024089485	0.0009445811	0.005186366	0.0286862317	0.0672325971	2043	2218	2218	2282	2057	2122	15	0.0202885482416592	0	0
ACSL1	0.0231931896190476	0.010327695	0.0230970457518519	0.0118597505	0.0271055179090029	0.00871248789932236	0.00242013552758954	0.00645161290322581	0.0135527589545015	0.0035100027	3.0795e-06	0.0025062074	0.0363430133	0.0436733089	2016	2066	2066	2066	2015	2066	4	0.0145208131655373	0	0
ACSL3	0.0187705610860963	0.0072330388	0.0136615462925134	0.0064294353	0.0223844282238443	0.00632603406326034	0.00145985401459854	0.00293398533007335	0.00635696821515892	0.0019909593	2.4923e-06	0.001448302	0.0182030858	0.0382303913	2160	2055	2055	2098	2045	2045	2	0.0111922141119221	0	0
ACSL4	0.0140838416898396	0.0044657785	0.0105478390807487	0.0050015455	0.0104213864975079	0.0031717263253285	0.00135931128228364	0.00535618639528656	0.00160685591858597	0.0014389466	2.2346e-06	0.0009969885	0.0244784957	0.0228303578	2133	2207	2207	2044	1867	1867	X	0.00860897145446307	0	0
ACSL5	0.0252614329016393	0.0123892854	0.0372557698065574	0.0211726559	0.0271170313986679	0.0104662226450999	0.00380589914367269	0	0.00814566363200767	0.004685314	2.3705e-06	0.0050307476	0.0272770318	0.0470975034	2049	2102	2102	1940	2090	2087	10	0.016650808753568	0	0
